Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Thecollegefever,Seed,250000.0,Bangalore,"Thecollegefever is a hub for fun, fiesta and frolic of colleges.",Marketing,2018,,Nan
Happy cow dairy,Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural maharashtra.,Agritech,2018,,Nan
Myloancare,Series A,949000.0,Gurgaon,Leading online loans marketplace in india,Fintech,2018,,Nan
Payme india,Seed,2000000.0,Noida,Payme india is an innovative fintech organization which offers short term financial suport to corporate employees.,Fintech,2018,,Nan
Eunimart,Seed,0.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,E-commerce,2018,,Nan
Hasura,Seed,1600000.0,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Saas,2018,,Nan
Tripshelf,Seed,233600.0,Kalkaji,Tripshelf is an online market place for holiday packages.,E-commerce,2018,,Nan
Hyperdata.io,Seed,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,Robotics,2018,,Nan
Freightwalla,Seed,0.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Technology,2018,,Nan
Microchip payments,Seed,0.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,Fintech,2018,,Nan
Bizcrum infotech pvt. ltd.,Seed,0.0,New delhi,Building transactionary b2b marketplaces,E-commerce,2018,,Nan
Emojifi,Seed,0.0,Bangalore,"Emojifi is an app that provides live emoji, stickers & gifs suggestions based on the typed words across chat platforms.",Digital media,2018,,Nan
Flock,Seed,0.0,Mumbai,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Saas,2018,,Nan
Freshboxx,Seed,0.0,Hubli,"Freshboxx is incubated at sandbox startups, a unit of the deshpande foundation.",Delivery services,2018,,Nan
Wide mobility mechatronics,Seed,0.0,Bangalore,Wide mobility mechatronics is a private company limited by shares,Automation,2018,,Nan
Pitstop,Seed,1460000.0,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Car rental,2018,,Nan
Mihuru,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,Fintech,2018,,Nan
Fyle,Seed,1100000.0,Bangalore,Fyle is an intelligent expense management platform for enterprises.,Fintech,2018,,Nan
Appwharf,Seed,0.0,New delhi,Appwharf is an intelligent assistant that helps find you the best-fit saas for your business.,AI,2018,,Nan
Antariksh waste ventures pvt ltd,Seed,7300.0,Chennai,Waste management for smart cities,Waste management,2018,,Nan
Cogoport,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Transport,2018,,Nan
Paisadukan,Seed,650000.0,Mumbai,A p2p lending marketplace platform,Fintech,2018,,Nan
Sleepy owl coffee,Seed,511000.0,New delhi,"Makers of a signature coffee that's exceptional in taste. it's super easy to brew, requires no equipment & ships to your door.",Food and Beverages,2018,,Nan
Bluejack,Seed,934400.0,New delhi,Delhi-based online used vehicles marketplace.,Car rental,2018,,Nan
Pregbuddy,Seed,0.0,Bangalore,Pregbuddy is a smart connected care platform for expecting mothers.,Healthcare,2018,,Nan
Agnext technologies,Series A,0.0,Mohali,Agnext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,Agrictech,2018,,Nan
Pando,Seed,2000000.0,Chennai,A startup which digitizes logistics operations for fortune 500 companies.,E-logistics,2018,,Nan
Mintifi,Seed,2000000.0,Mumbai,Online lending startup based in mumbai.,Finance,2018,,Nan
Carcrew,Seed,2000000.0,Mumbai,India's online auto repair marketplace,E-commerce,2018,,Nan
Nicheai,Seed,0.0,Hyderabad,Early stage artificial intelligence (ai) start up.,AI,2018,,Nan
Chariot tech,Seed,292000.0,New delhi,Chariot tech is an internet of things (iot) startup based in new delhi.,Iot,2018,,Nan
Ideal insurance brokers/ 121policy.com,Seed,1000000.0,Kolkata,Ideal insurance broking is one of the leaders in insurance broking domain.,Insurance,2018,,Nan
Loanzen,Seed,0.0,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices.,Fintech,2018,,Nan
Mojro technologies,Seed,650000.0,Bangalore,Mojro envisions to be the world's largest technology-enabled logistics platform.,E-logistics,2018,,Nan
Elemential,Seed,1000000.0,Mumbai,"Blockchain development platform to design, run & scale blockchain networks.",Saas,2018,,Nan
